1.E4BA8C|ニ;ジ#ふた;ふた.つ;ふたたび#おと;つぐ;つぎ;にい;は;ふ;ふたつ;ふだ;わ|two, two radical (no. 7)|deux, radical deux (no. 2)|dos, 2|
1.E4BA8D|チョク#たたず.む#|to take small steps, Korean place name|||
1.E4BA8E|ウ;ク#ここに;ああ;おいて;に;より;を#|going, from|||
1.E4BA91|ウン#い.う;ここに#|say||decir|
1.E4BA92|ゴ#たが.い;かたみ.に#|mutually, reciprocally, together|mutuel, réciproque, ensemble|mutuo, recíproco, conjunto, mutuamente, recíprocamente, conjuntamente|
1.E4BA94|ゴ#いつ;いつ.つ#い;さ;さつ;ち;ふ;み;め|five|cinq|cinco, 5|
1.E4BA95|セイ;ショウ#い#いの;さい;ひ|well, well crib, town, community|puits, margelle, ville, communauté|pozo, ciudad|
1.E4BA96|シ#よ;よ.つ;よっ.つ;よん#|four|||
1.E4BA97|サイ;セイ#とし;とせ;よわ.い#|harvest, year, age|||
1.E4BA98|コウ;カン;セン#わた.る;もと.める#のぶ;とうる;わたる;ひさし|span, range, extend over|durée, s'étendre (espace), demande|ensanchar, cruzar, atravesar|
1.E4BA99|コウ;カン#わた.る;もと.める#のぶ|range, reach, extend, cover|||
1.E4BA9B|サ;シャ#ち.と;ち.っと;いささか#|a little bit, sometimes|||
1.E4BA9C|ア#つ.ぐ#や;つぎ;つぐ|Asia, rank next, come after, -ous|Asie, suivant, sub-, sous-|pref. para indicar, venir después de, Asia|
1.E4BA9D|セイ;サイ#そろ.う;ひと.しい;ひと.しく;あ.たる;はや.い#|even, regular, uniform all alike, to arrange|||
1.E4BA9E|ア#つ.ぐ#|rank, follow|||
1.E4BA9F|キョク;キ;ケ#しばしば;すみやか#|fast, quick, sudden|||
1.E4BAA0|トウ##|kettle lid radical (no. 8)|||
1.E4BAA1|ボウ;モウ#な.い;な.き-;ほろ.びる;ほろ.ぶ;ほろ.ぼす#|deceased, the late, dying, perish|décédé, feu ..., mon regretté ..., mourir, périr, détruire|desaparecer, perecer, difunto, huir, escapar|
1.E4BAA2|コウ#たかぶる#|high spirits|||
1.E4BAA4|コウ#まじ.わる;まじ.える;ま.じる;まじ.る;ま.ざる;ま.ぜる;-か.う;か.わす;かわ.す;こもごも#かた|mingle, mixing, association, coming &amp; going|mélanger, échanges, association, mêler, aller et venir|cambio, reemplazo, mezcla, asociación, cruzarse, mezclarse, cruzar, mezclar|
1.E4BAA5|ガイ;カイ#い#り|sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac|signe de la 12ème branche terrestre, signe du Porc (zodiaque), 21 à 23 h|signo del cerdo, doceavo signo del zodíaco|
1.E4BAA6|エキ;ヤク#また#|also, again||también, otra vez, de nuevo|
1.E4BAA8|コウ;キョウ;ホウ#とお.る#とうる;みち;ゆき;あきら;なが;あき;とおる;とおるふ|pass through, go smoothly||pasar, entregar|
