KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
osamari, 収まり, 納まり, 治まり, conclusion, end, settlement, , |osamari|収まり, 納まり, 治まり|conclusion, end, settlement|Noun|Abstract Concept / Fact|||||||
kui, 悔い, regret, repentance, , |kui|悔い|regret, repentance|Noun|Abstract Concept / Fact|||||||
moji, 文字, letter, character, , |moji|文字|letter, character|Noun|Abstract Concept / Fact|||||||
yuurei, 幽霊, (Japanese folklore) ghosts, , |yuurei|幽霊|(Japanese folklore) ghosts|Noun|Abstract Concept / Fact|||||||
reigen, 霊験, miraculous efficacy, miracle, miraculous virtue, , |reigen|霊験|miraculous efficacy, miracle, miraculous virtue|Noun|Abstract Concept / Fact|||||||
shishitsu, 資質, nature, disposition, , |shishitsu|資質|nature, disposition|Noun|Abstract Concept / Fact|||||||
sude, 素手, bare hands, unarmed, , |sude|素手|bare hands, unarmed|Noun|Abstract Concept / Fact|||||||
uchiage, 打ち上げ, launch, , |uchiage|打ち上げ|launch|Noun|Abstract Concept / Fact|||||||
fukenkou, 不健康, poor health, ill health, , |fukenkou|不健康|poor health, ill health|Noun|Abstract Concept / Fact|||||||
tatei, 大抵, most, almost all, , |tatei|大抵|most, almost all|Noun|Abstract Concept / Fact|||||||
fukai, 不快, displeasure, discomfort, , |fukai|不快|displeasure, discomfort|Noun|Abstract Concept / Fact|||||||
kutsuu, 苦痛, pain, agony, bitterness, , |kutsuu|苦痛|pain, agony, bitterness|Noun|Abstract Concept / Fact|||||||
oroka, 愚か, foolishness, stupidity, , |oroka|愚か|foolishness, stupidity|Noun|Abstract Concept / Fact|||||||
saisho, 最初, beginning, outset, first, onset, start, , |saisho|最初|beginning, outset, first, onset, start|Noun|Abstract Concept / Fact|||||||
kangaimuryou, 感慨無量, deep emotion, one's mind is filled with thousand emotions, kangaimurio, |kangaimuryou|感慨無量|deep emotion, one's mind is filled with thousand emotions|Noun|Abstract Concept / Fact||||||kangaimurio|
kigaru, 気軽, ease, , |kigaru|気軽|ease|Noun|Abstract Concept / Fact|||||||
kenmei, 懸命, eagerness, earnestness, risking one's life, , |kenmei|懸命|eagerness, earnestness, risking one's life|Noun|Abstract Concept / Fact|||||||
kenmei, 賢明, wisdom, intelligence, prudence, , |kenmei|賢明|wisdom, intelligence, prudence|Noun|Abstract Concept / Fact|||||||
shinpai, 心配, worry, concern, anxiety, care, help, aid, assistance, , |shinpai|心配|worry, concern, anxiety, care, help, aid, assistance|Noun|Abstract Concept / Fact|||||||
houritsu, 法律, law, , |houritsu|法律|law|Noun|Abstract Concept / Fact|||||||
yamai, 病, illness, disease, , |yamai|病|illness, disease|Noun|Abstract Concept / Fact|||||||
jakuten, 弱点, weak point, weakness, , |jakuten|弱点|weak point, weakness|Noun|Abstract Concept / Fact|||||||
seishiki, 正式, due form, officiality, formality, , |seishiki|正式|due form, officiality, formality|Noun|Abstract Concept / Fact|||||||
shugi, 主義, doctrine, rule, principle, , |shugi|主義|doctrine, rule, principle|Noun|Abstract Concept / Fact|||||||
joukyou, 状況, state of affairs, situation, circumstances, , |joukyou|状況|state of affairs, situation, circumstances|Noun|Abstract Concept / Fact|||||||
fuan, 不安, anxiety, uneasiness, insecurity, suspense, , |fuan|不安|anxiety, uneasiness, insecurity, suspense|Noun|Abstract Concept / Fact|||||||
hazure, 外れ, end, verge, extremity, tip, outskirts, miss, failure, , |hazure|外れ|end, verge, extremity, tip, outskirts, miss, failure|Noun|Abstract Concept / Fact|||||||
hakkou, 発行, issue, publication, , |hakkou|発行|issue, publication|Noun|Abstract Concept / Fact|||||||
seikouri, 成功裏, success, , |seikouri|成功裏|success|Noun|Abstract Concept / Fact|||||||
miren, 未練, lingering affection, attachment, regrets, reluctance, ruefulness, , |miren|未練|lingering affection, attachment, regrets, reluctance, ruefulness|Noun|Abstract Concept / Fact|||||||
ato, 跡, trace tracks, mark, sign, remains, ruins, 迹, 址, |ato|跡|trace tracks, mark, sign, remains, ruins|Noun|Abstract Concept / Fact||||||迹, 址|
ato, 痕, scar, , |ato|痕|scar|Noun|Abstract Concept / Fact|||||||
taisen, 大戦, great war, great battle, , |taisen|大戦|great war, great battle|Noun|Abstract Concept / Fact|||||||
seikouritsu, 成功率, success rate, , |seikouritsu|成功率|success rate|Noun|Abstract Concept / Fact|||||||
kisoku, 規則, rules, regulations, conventions, , |kisoku|規則|rules, regulations, conventions|Noun|Abstract Concept / Fact|||||||
tagai, 互い, mutual, reciprocal, , |tagai|互い|mutual, reciprocal|Noun|Abstract Concept / Fact|||||||
shippai, 失敗, failure, mistake, blunder, , |shippai|失敗|failure, mistake, blunder|Noun|Abstract Concept / Fact|||||||
kyuu, 級, class, grade, rank, school class, school grade, , |kyuu|級|class, grade, rank, school class, school grade|Noun|Abstract Concept / Fact|||||||
keiken, 経験, experience, , |keiken|経験|experience|Noun|Abstract Concept / Fact|||||||
reibai, 霊媒, spirit medium, , |reibai|霊媒|spirit medium|Noun|Abstract Concept / Fact|||||||
dengon, 伝言, verbal message, word, , |dengon|伝言|verbal message, word|Noun|Abstract Concept / Fact|||1292||||
anzen, 安全, safety, security, , |anzen|安全|safety, security|Noun|Abstract Concept / Fact|||||||
hitorigoto, 独り言, siloloquy, monologue, speaking to oneself, ひとり言, 一人言, 独りごと, |hitorigoto|独り言|siloloquy, monologue, speaking to oneself|Noun|Abstract Concept / Fact||||||ひとり言, 一人言, 独りごと|
mendou, 遠藤, trouble, difficulty, care, attention, , |mendou|遠藤|trouble, difficulty, care, attention|Noun|Abstract Concept / Fact|||||||
mapputatsu, 真っ二つ, in two equal parts, massutatsu, maputasu, matsufutasu, maffutatsu, |mapputatsu|真っ二つ|in two equal parts|Noun|Abstract Concept / Fact||||||massutatsu, maputasu, matsufutasu, maffutatsu|
ayakashi, あやかし, something strange or suspicious, ghost at sea, idiot, fool, , |ayakashi|あやかし|something strange or suspicious, ghost at sea, idiot, fool|Noun|Abstract Concept / Fact|||||||
youryoku, 妖力, spirit power, magical power, , |youryoku|妖力|spirit power, magical power|Noun|Abstract Concept / Fact|||||||
muchuu, 夢中, daze, trance, ecstasy, delirium, engrossment, dreamlike state, , |muchuu|夢中|daze, trance, ecstasy, delirium, engrossment, dreamlike state|Noun|Abstract Concept / Fact|||||||
teate, 手当て, medical care, treatment, advance preparation, , |teate|手当て|medical care, treatment, advance preparation|Noun|Abstract Concept / Fact|||||||
sugata katachi, 姿形, appearance, figure, shape, form, 姿かたち, |sugata katachi|姿形|appearance, figure, shape, form|Noun|Abstract Concept / Fact||||||姿かたち|
katachi, 形, 容, figure, shape, form, 姿かたち, |katachi|形, 容|figure, shape, form|Noun|Abstract Concept / Fact||||||姿かたち|
ichigeki, 一撃, single blow, single hit, poke, , |ichigeki|一撃|single blow, single hit, poke|Noun|Abstract Concept / Fact|||||||
taipo, タイプ, type, kind, sort, style, , |taipo|タイプ|type, kind, sort, style|Noun|Abstract Concept / Fact|||||||
kougyou, 工業, (manufacturing) industry, , |kougyou|工業|(manufacturing) industry|Noun|Abstract Concept / Fact|||||||
konpaku, 魂魄, soul, spirit, ghost, , |konpaku|魂魄|soul, spirit, ghost|Noun|Abstract Concept / Fact|||||||
mirai, 未来, future (usually distant), , |mirai|未来|future (usually distant)|Noun|Abstract Concept / Fact|||1338||shourai||
sangyou, 産業, industry, , |sangyou|産業|industry|Noun|Abstract Concept / Fact|||||||
yami, 闇, darkness, the dark, bewilderment, despair, hopelessness, shady, illegal, , |yami|闇|darkness, the dark, bewilderment, despair, hopelessness, shady, illegal|Noun|Abstract Concept / Fact|||||||
honrai, 本来, original, primary, , |honrai|本来|original, primary|Noun|Abstract Concept / Fact|||||||
mimono, 見物, sight, attraction, , |mimono|見物|sight, attraction|Noun|Abstract Concept / Fact|||||||
betsu, 別, distinction, difference, different, another, particular, separate, extra, exception, , |betsu|別|distinction, difference, different, another, particular, separate, extra, exception|Noun|Abstract Concept / Fact|||||||
ma, 間, space, room, time, pause, , |ma|間|space, room, time, pause|Noun|Abstract Concept / Fact|||||||
shiseikatsu, 私生活, one's private life, , |shiseikatsu|私生活|one's private life|Noun|Abstract Concept / Fact|||||||
iraira, イライラ, irritation, stress, , |iraira|イライラ|irritation, stress|Noun|Abstract Concept / Fact|||||||
kinchou, 緊張, tension, mental strain, nervousness, stress, , |kinchou|緊張|tension, mental strain, nervousness, stress|Noun|Abstract Concept / Fact|Oftentimes associated to stress when tested.||||||
nenjuu, 年中, whole year, all year round, throughout the year, , |nenjuu|年中|whole year, all year round, throughout the year|Noun|Abstract Concept / Fact|||||||
ittoku, 一得, one advantage, merit, , |ittoku|一得|one advantage, merit|Noun|Abstract Concept / Fact|||||||
kuragari, 暗がり, darkness, , |kuragari|暗がり|darkness|Noun|Abstract Concept / Fact|||||||
ittoku, 一徳, virtue, , |ittoku|一徳|virtue|Noun|Abstract Concept / Fact|||||||
futsuu, 普通, general, ordinary, regular, usual fact or concept, , |futsuu|普通|general, ordinary, regular, usual fact or concept|Noun|Abstract Concept / Fact|||1255|tokubetsu|||
shakai, 社会, society, public, community, the world, , |shakai|社会|society, public, community, the world|Noun|Abstract Concept / Fact|||||||
nakaba, 半ば, middle, half, , |nakaba|半ば|middle, half|Noun|Abstract Concept / Fact|||||||
shiri, 地理, geography, , |shiri|地理|geography|Noun|Abstract Concept / Fact|||||||
iken, 意見, opinion, view, comment, , |iken|意見|opinion, view, comment|Noun|Abstract Concept / Fact|||1358||||
riyou, 利用, use, utilization, utilisation, application, , |riyou|利用|use, utilization, utilisation, application|Noun|Abstract Concept / Fact|||1270||||
reibou, 冷房, cooling, air-conditioning, , |reibou|冷房|cooling, air-conditioning|Noun|Abstract Concept / Fact|||||||
ikusa, 戦, war, battle, campaign, fight, trrops, forces, , |ikusa|戦|war, battle, campaign, fight, trrops, forces|Noun|Abstract Concept / Fact|||||||
jintsuuriki, 神通力, supernatural power, divine power,magical power, , |jintsuuriki|神通力|supernatural power, divine power,magical power|Noun|Abstract Concept / Fact|||||||
yusgutsu, 輸出, export, efferent (medical), , |yusgutsu|輸出|export, efferent (medical)|Noun|Abstract Concept / Fact|||||||
shurui, 種類, variety, kind, type, category, species, sort, , |shurui|種類|variety, kind, type, category, species, sort|Noun|Abstract Concept / Fact|||||||
riyouhou, 利用法, way of using, method of using, , |riyouhou|利用法|way of using, method of using|Noun|Abstract Concept / Fact|||1271||||
shinai, 市内, within the city, local, , |shinai|市内|within the city, local|Noun|Abstract Concept / Fact|||||||
seorii, セオリー, theory, , |seorii|セオリー|theory|Noun|Abstract Concept / Fact|||||||
seimei, 生命, life, existence, , |seimei|生命|life, existence|Noun|Abstract Concept / Fact|||||||
nasake, 情け, pity, sumpathy, compassion, affection, , |nasake|情け|pity, sumpathy, compassion, affection|Noun|Abstract Concept / Fact|||||||
igaku, 医学, medical science, medicine, , |igaku|医学|medical science, medicine|Noun|Abstract Concept / Fact|||||||
seiji, 政治, politics, government, , |seiji|政治|politics, government|Noun|Abstract Concept / Fact|||||||
undou, 運動, motion, excercise, , |undou|運動|motion, excercise|Noun|Abstract Concept / Fact|||||||
kehai, kihai, 気配, indication, sign, hint, presence, trend, quaotation (stock market), , |kehai, kihai|気配|indication, sign, hint, presence, trend, quaotation (stock market)|Noun|Abstract Concept / Fact|||||||
ochi, 落ち, slip, omission, outcome, final result, the end, punch line (of a joke), , |ochi|落ち|slip, omission, outcome, final result, the end, punch line (of a joke)|Noun|Abstract Concept / Fact|||||||
iki, 生き, living, freshness, liveliness, vitality, , |iki|生き|living, freshness, liveliness, vitality|Noun|Abstract Concept / Fact|||||||
hensou, 変装, disguise, masquerade, , |hensou|変装|disguise, masquerade|Noun|Abstract Concept / Fact|||||||
nagare, 流れ, stream, current, flow, , |nagare|流れ|stream, current, flow|Noun|Abstract Concept / Fact|||||||
naki, 泣き, weeping, lamenting, , |naki|泣き|weeping, lamenting|Noun|Abstract Concept / Fact|||||||
asahi, 朝日, morning sun, , |asahi|朝日|morning sun|Noun|Abstract Concept / Fact|||||||
yuuhi, 夕日, evening sun, setting sun, , |yuuhi|夕日|evening sun, setting sun|Noun|Abstract Concept / Fact|||||||
tsubute, 礫, stone thrown at somebody, throwing of stones, 飛礫, |tsubute|礫|stone thrown at somebody, throwing of stones|Noun|Abstract Concept / Fact||||||飛礫|
sanchou, 山頂, summit (e.g. mountain), , |sanchou|山頂|summit (e.g. mountain)|Noun|Abstract Concept / Fact|||||||
mamori, 守り, protection, defense, defence, providence, amulet, charm, talisman, 護り, |mamori|守り|protection, defense, defence, providence, amulet, charm, talisman|Noun|Abstract Concept / Fact||||||護り|
yuisho, 由緒, history, pedigree, lineage, , |yuisho|由緒|history, pedigree, lineage|Noun|Abstract Concept / Fact|||||||
tekisuto, テキスト, text, text book, , |tekisuto|テキスト|text, text book|Noun|Abstract Concept / Fact|||||||
genzai, 現在, now, current, present, present time, , |genzai|現在|now, current, present, present time|Noun|Abstract Concept / Fact|||||||
ika, 以下, below-mentioned, following, rest (of a statement), , |ika|以下|below-mentioned, following, rest (of a statement)|Noun|Abstract Concept / Fact|||||||
anshin, 安心, relief, peace of mind, , |anshin|安心|relief, peace of mind|Noun|Abstract Concept / Fact|||||||
yousu, 様子, state, state of affairs, situation, circumstances, appearance, look, aspect, sign, indication, , |yousu|様子|state, state of affairs, situation, circumstances, appearance, look, aspect, sign, indication|Noun|Abstract Concept / Fact|||||||
madou, 魔道, sorcery, magic, heresy, , |madou|魔道|sorcery, magic, heresy|Noun|Abstract Concept / Fact|||||||
toori, 通り, avenue, road, street, way, traffic, flow, transmission (of sound), reach (e.g. of voice), fame, reputation, popularity, understanding, comprehension, , |toori|通り|avenue, road, street, way, traffic, flow, transmission (of sound), reach (e.g. of voice), fame, reputation, popularity, understanding, comprehension|Noun|Abstract Concept / Fact|||||||
kongo, 今後, from now on, hereafter, , |kongo|今後|from now on, hereafter|Noun|Abstract Concept / Fact|||||||
kanjin, 肝心, essential, fundamental, crucial, vital, main, 肝腎, |kanjin|肝心|essential, fundamental, crucial, vital, main|Noun|Abstract Concept / Fact||||||肝腎|
kanjou, 感情, emotion, feelings, sentiments, , |kanjou|感情|emotion, feelings, sentiments|Noun|Abstract Concept / Fact|||||||
hikari, 光, light, , |hikari|光|light|Noun|Abstract Concept / Fact|||||||
jimen, 地面, ground, earth's surface, , |jimen|地面|ground, earth's surface|Noun|Abstract Concept / Fact|||||||
yuumei, 有名, fame, , |yuumei|有名|fame|Noun|Abstract Concept / Fact|||||||
jiyuu, 自由, freedom, liberty, , |jiyuu|自由|freedom, liberty|Noun|Abstract Concept / Fact|||||||
fushigi, 不思議, wonder, miracle, mystery, marvel, curiosity, , |fushigi|不思議|wonder, miracle, mystery, marvel, curiosity|Noun|Abstract Concept / Fact|||||||
shoutai, 招待, invitation, 請待, |shoutai|招待|invitation|Noun|Abstract Concept / Fact||||||請待|
yue, 故, reason, cause, circumstances, , |yue|故|reason, cause, circumstances|Noun|Abstract Concept / Fact|||||||
