KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
sei, 制, system, organization, organisation, imperial command, laws, regulations, control, government, suppression, restraint, establishment, , |sei|制|system, organization, organisation, imperial command, laws, regulations, control, government, suppression, restraint, establishment|Noun|Abstract Concept / Fact|||||||
sousaku, 創作, production, literary creation, work, , |sousaku|創作|production, literary creation, work|Noun|Abstract Concept / Fact|||||||
nikushin, 肉親, blood relationship, blood relative, , |nikushin|肉親|blood relationship, blood relative|Noun|Abstract Concept / Fact|||||||
jumyou, 寿命, life span, , |jumyou|寿命|life span|Noun|Abstract Concept / Fact|||||||
musabetsu, 無差別, indiscrimination, , |musabetsu|無差別|indiscrimination|Noun|Abstract Concept / Fact|||||||
sei, 精, spirit, sprite, nymph, enery, vigor, vigour, strength, fine details, semen, , |sei|精|spirit, sprite, nymph, enery, vigor, vigour, strength, fine details, semen|Noun|Abstract Concept / Fact|||||||
kuzu, 屑, waste, scrap, garbage, , |kuzu|屑|waste, scrap, garbage|Noun|Abstract Concept / Fact|||||||
shudan, 手段, means, way, measure, , |shudan|手段|means, way, measure|Noun|Abstract Concept / Fact|||||||
henken, 偏見, prejudice, narrow view, , |henken|偏見|prejudice, narrow view|Noun|Abstract Concept / Fact|||||||
shouhin, 商品, commodity, article of commerce, goods,stock, merchandise, , |shouhin|商品|commodity, article of commerce, goods,stock, merchandise|Noun|Abstract Concept / Fact|||||||
shouki, 正気, sanity, conciousness, soberness, , |shouki|正気|sanity, conciousness, soberness|Noun|Abstract Concept / Fact|||||||
jikoku, 時刻, instant, time, moment, , |jikoku|時刻|instant, time, moment|Noun|Abstract Concept / Fact|||||||
inochi, 命, life force, lifetime, life span, foundation, core, , |inochi|命|life force, lifetime, life span, foundation, core|Noun|Abstract Concept / Fact|||||||
higami, 僻み, prejudice, bias, inferiority complex, , |higami|僻み|prejudice, bias, inferiority complex|Noun|Abstract Concept / Fact|||||||
senyuukan, 先入観, preconception, prejudice, preoccupation, preconceived notion, , |senyuukan|先入観|preconception, prejudice, preoccupation, preconceived notion|Noun|Abstract Concept / Fact|||||||
koosu, コース, course, plan, , |koosu|コース|course, plan|Noun|Abstract Concept / Fact|||||||
nayami, 悩み, troubles, worry, distress, sorrows, anguish, agony, problems, worries, agonies, |nayami|悩み|troubles, worry, distress, sorrows, anguish, agony, problems|Noun|Abstract Concept / Fact||||||worries, agonies|
tokkyuu, 特急, limited express, special express, great hurry, , |tokkyuu|特急|limited express, special express, great hurry|Noun|Abstract Concept / Fact|Mainly reserved for trains in Japan.||||||
daiichi, 第一, first, foremost, number one, , |daiichi|第一|first, foremost, number one|Noun|Abstract Concept / Fact|||||||
oudan, 横断, crossing, transverse, , |oudan|横断|crossing, transverse|Noun|Abstract Concept / Fact|||||||
honsen, 本線, main line, , |honsen|本線|main line|Noun|Abstract Concept / Fact|||||||
wake, 訳, conclusion, judgement, reason, cause, meaning, circumstances, situation, , |wake|訳|conclusion, judgement, reason, cause, meaning, circumstances, situation|Noun|Abstract Concept / Fact|||||||
uchiawase, 打ち合わせ, business meeting, previous arrangement, appointment, preparatory meeting, overlap (of a coat, etc), 打ち合せ, 打合せ, 打合わせ, |uchiawase|打ち合わせ|business meeting, previous arrangement, appointment, preparatory meeting, overlap (of a coat, etc)|Noun|Abstract Concept / Fact||||||打ち合せ, 打合せ, 打合わせ|
nerai, 狙い, aim, , |nerai|狙い|aim|Noun|Abstract Concept / Fact|||||||
nendai, 年代, age, era, period, date, , |nendai|年代|age, era, period, date|Noun|Abstract Concept / Fact|||||||
uchikiri, 打ち切り, end, close, finish, discontinuance, , |uchikiri|打ち切り|end, close, finish, discontinuance|Noun|Abstract Concept / Fact|||||||
